routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.009,0.0,16496
update_state,0.0,0.0,0.0,16496
sense_environment,0.834,0.478,0.825,16495
update_state_environment,0.003,0.011,0.0,16495
get_environment_broadcasts,0.0,0.004,0.0,16495
get_agent_broadcasts,0.008,0.065,0.0,16495
sense,0.849,0.477,0.849,16495
think,0.442,0.675,0.341,16495
perform_broadcast,0.032,0.047,0.019,158
do,0.464,0.524,0.159,16495
perform_wait_for_messages,0.468,0.525,0.164,15983
perform_state_change,0.476,0.534,0.13,612
perform_observation,0.399,0.479,0.086,392
