routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.001,0.0,1170,0.197719565969237
update_state,0.0,0.0,0.0,1170,0.12924642201687675
sense_environment,0.027,0.018,0.024,1169,32.02314385598038
update_state_environment,0.0,0.0,0.0,1169,0.12388640298013343
get_environment_broadcasts,0.001,0.003,0.0,1169,0.8004486130157602
get_agent_broadcasts,0.008,0.026,0.0,1169,9.924047906992202
sense,0.037,0.028,0.03,1169,43.30609486600224
think,0.04,0.038,0.03,1169,47.297262340940506
perform_broadcast,0.003,0.007,0.0,68,0.2208986229961738
do,0.039,0.036,0.029,1169,46.047962933989766
perform_wait_for_messages,0.043,0.036,0.033,1039,44.508723815006306
perform_state_change,0.033,0.021,0.024,81,2.68178100699879
perform_observation,0.017,0.016,0.01,68,1.131470308990174
