Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 0.8590907628291928
Mission Duration [Days] is 0.03321077886481061
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,-1011.8475101241958,843.319412537593,6808.685875400386,-0.3343490591960333,7.506573445172473,-0.9794473549010457
1,-1012.1340916410024,849.7595449773677,6807.842508392496,-0.33331269395681024,7.505705324789046,-0.9864286990399495
2,-1012.4197849837147,856.1989296795492,6806.993151716028,-0.3322760351463973,7.504830601123826,-0.9934091753197595
3,-1012.7045899006991,862.6375609789719,6806.137806118235,-0.33123908367173166,7.503949274944154,-1.0003887776173839
4,-1012.9885061411007,869.0754332111434,6805.276472351626,-0.3302018404399996,7.503061347023122,-1.0073674998104891
5,-1013.271533454842,875.5125407121774,6804.409151173966,-0.3291643063586822,7.502166818139582,-1.014345335777466
6,-1013.5536715926253,881.9488778189416,6803.535843348265,-0.3281264823354836,7.50126568907814,-1.0213222793975474
7,-1013.8349203059269,888.3844388689373,6802.656549642788,-0.32708836927835505,7.500357960629156,-1.0282983245506974
8,-1014.1152793470029,894.8192182003322,6801.771270831051,-0.32604996809551884,7.499443633588744,-1.03527346511767
9,-1014.3947484688904,901.253210152023,6800.880007691818,-0.32501127969544596,7.4985227087587685,-1.0422476949800268
10,-1014.6733274254007,907.6864090635615,6799.982761009105,-0.32397230498684143,7.497595186946849,-1.0492210080201037
11,-1014.9510159711252,914.118809275188,6799.079531572177,-0.32293304487868124,7.496661068966359,-1.0561933981210252
12,-1015.2278138614363,920.5504051278793,6798.170320175543,-0.3218935002801789,7.495720355636416,-1.0631648591667566
13,-1015.5037208524849,926.9811909632934,6797.255127618962,-0.32085367210080795,7.494773047781893,-1.0701353850420365
14,-1015.7787367011983,933.411161123801,6796.333954707441,-0.3198135612502665,7.49381914623341,-1.077104969632444
15,-1016.0528611652874,939.8403099524971,6795.406802251227,-0.31877316863852245,7.49285865182734,-1.0840736068243522
16,-1016.3260940032418,946.2686317931856,6794.473671065821,-0.3177324951757857,7.491891565405796,-1.0910412905049922
17,-1016.5984349743287,952.69612099041,6793.5345619719565,-0.3166915417724948,7.490917887816643,-1.0980080145623996
18,-1016.869883838599,959.122771889404,6792.5894757956285,-0.3156503093393618,7.489937619913499,-1.1049737728854325
19,-1017.140440356881,965.5485788362017,6791.638413368057,-0.31460879878730047,7.488950762555715,-1.1119385593638462
20,-1017.4101042907879,971.9735361775216,6790.681375525711,-0.313567011027523,7.4879573166083935,-1.118902367888186
21,-1017.6788754027086,978.3976382608477,6789.718363110306,-0.3125249469714344,7.486957282942387,-1.1258651923498653
22,-1017.946753455817,984.8208794344315,6788.749376968791,-0.311482607530705,7.485950662434281,-1.1328270266411717
23,-1018.213738214067,991.2432540472452,6787.774417953356,-0.31043999361724745,7.484937455966406,-1.1397878646552442
24,-1018.479829442192,997.6647564490227,6786.793486921439,-0.30939710614319965,7.483917664426848,-1.1467477002860536
25,-1018.7450269057119,1004.0853809902958,6785.806584735706,-0.30835394602095495,7.482891288709414,-1.1537065274285119
26,-1019.0093303709227,1010.5051220223456,6784.813712264065,-0.3073105141631181,7.4818583297136625,-1.1606643399783638
27,-1019.2727396049085,1016.923973897222,6783.8148703796605,-0.30626681148257945,7.480818788344895,-1.16762113183223
28,-1019.5352543755298,1023.341930967748,6782.810059960876,-0.3052228388924144,7.479772665514146,-1.17457689688765
29,-1019.7968744514342,1029.7589875875644,6781.799281891327,-0.3041785973059634,7.478719962138186,-1.1815316290430433
30,-1020.0575996020511,1036.1751381110646,6780.782537059866,-0.30313408763680405,7.4776606791395315,-1.1884853221977125
31,-1020.3174295975898,1042.590376893451,6779.759826360578,-0.302089310798724,7.476594817446429,-1.195437970251894
32,-1020.5763642090474,1049.0046982907345,6778.731150692781,-0.3010442677057741,7.475522377992863,-1.2023895671067137
33,-1020.8344032081988,1055.41809665971,6777.696510961028,-0.29999895927220444,7.474443361718552,-1.2093401066642129
34,-1021.091546367609,1061.8305663579872,6776.655908075104,-0.29895338641254376,7.473357769568952,-1.2162895828273526
35,-1021.3477934606211,1068.2421017440083,6775.60934295002,-0.2979075500415037,7.4722656024952485,-1.2232379895000332
36,-1021.6031442613647,1074.6526971769945,6774.556816506022,-0.29686145107405665,7.471166861454364,-1.2301853205870545
37,-1021.8575985447545,1081.0623470170392,6773.498329668582,-0.2958150904253982,7.4700615474089425,-1.2371315699941996
38,-1022.1111560864862,1087.4710456250314,6772.433883368403,-0.2947684690109392,7.4689496613273745,-1.24407673162815
39,-1022.3638166630436,1093.87878736269,6771.363478541416,-0.2937215877463439,7.467831204183771,-1.2510207993965392
40,-1022.6155800516918,1100.2855665926256,6770.287116128772,-0.2926744475474661,7.466706176957969,-1.2579637672079829
41,-1022.8664460304851,1106.6913776782008,6769.20479707686,-0.2916270493304393,7.465574580635544,-1.2649056289720106
42,-1023.1164143782581,1113.0962149837067,6768.116522337283,-0.29057939401157074,7.4644364162077945,-1.2718463785991476
43,-1023.3654848746338,1119.5000728742345,6767.022292866879,-0.28953148250742344,7.463291684671744,-1.2787860100008595
44,-1023.6136573000215,1125.9029457157835,6765.922109627696,-0.28848331573478025,7.462140387030143,-1.2857245170896106
45,-1023.860931435612,1132.3048278751698,6764.815973587019,-0.28743489461063104,7.4609825242914685,-1.292661893778821
46,-1024.1073070633865,1138.7057137200982,6763.703885717345,-0.28638622005221304,7.459818097469918,-1.2995981339829041
47,-1024.3527839661078,1145.105597619152,6762.585846996397,-0.2853372929769523,7.458647107585418,-1.3065332316172609
48,-1024.5973619273313,1151.5044739417724,6761.461858407114,-0.2842881143025425,7.457469555663612,-1.3134671805982827
49,-1024.8410407313918,1157.902337058304,6760.33192093766,-0.283238684946851,7.45628544273587,-1.320399974843361
50,-1025.0838201634147,1164.2991813399503,6759.196035581414,-0.28218900582799195,7.455094769839282,-1.3273316082708844
51,-1025.3257000093122,1170.6950011588572,6758.05420333697,-0.28113907786428877,7.453897538016649,-1.33426207480027
52,-1025.566680055783,1177.0897908880065,6756.906425208148,-0.280088901974294,7.452693748316506,-1.3411913683519177
53,-1025.8067600903116,1183.4835449013347,6755.75270220397,-0.2790384790767506,7.451483401793093,-1.3481194828472893
54,-1026.0459399011718,1189.8762575736582,6754.593035338685,-0.2779878100906451,7.450266499506374,-1.3550464122088266
55,-1026.284219277425,1196.267923280706,6753.42742563175,-0.2769368959351741,7.449043042522027,-1.3619721503600315
56,-1026.5215980089174,1202.6585363991271,6752.255874107839,-0.2758857375297335,7.447813031911447,-1.368896691225417
57,-1026.7580758862866,1209.04809130649,6751.078381796838,-0.27483433579394734,7.446576468751741,-1.375820028730569
58,-1026.993652700957,1215.4365823813039,6749.894949733837,-0.27378269164765157,7.445333354125732,-1.3827421568020846
59,-1027.2283282451422,1221.8240040029848,6748.705578959147,-0.27273080601089644,7.4440836891219515,-1.3896630693676442
60,-1027.4621023118411,1228.2103505519121,6747.510270518282,-0.27167867980392824,7.442827474834648,-1.3965827603559522
61,-1027.694974694847,1234.5956164094046,6746.309025461965,-0.2706263139472267,7.441564712363777,-1.4035012236968014
62,-1027.9269451887346,1240.9797959576813,6745.101844846133,-0.2695737093614566,7.4402954028150035,-1.4104184533210398
63,-1028.158013588874,1247.3628835799736,6743.8887297319225,-0.26852086696751454,7.439019547299708,-1.417334443160568
64,-1028.3881796914213,1253.744873660431,6742.669681185681,-0.2674677876864941,7.437737146934968,-1.4242491871483978
65,-1028.6174432933235,1260.1257605841913,6741.444700278955,-0.26641447243969774,7.436448202843573,-1.4311626792186112
66,-1028.8458041923172,1266.5055387373202,6740.213788088505,-0.2653609221486418,7.435152716154022,-1.4380749133063737
67,-1029.073262186926,1272.8842025068936,6738.976945696283,-0.26430713773503073,7.433850688000512,-1.4449858833479357
68,-1029.2998170764677,1279.2617462809492,6737.73417418945,-0.2632531201207979,7.432542119522952,-1.4518955832806584
69,-1029.5254686610454,1285.638164448484,6736.485474660371,-0.26219887022805577,7.431227011866949,-1.4588040070430006
70,-1029.7502167415566,1292.0134513995163,6735.230848206604,-0.2611443889791386,7.429905366183809,-1.4657111485745393
71,-1029.9740611196864,1298.3876015250057,6733.970295930917,-0.26008967729658256,7.42857718363055,-1.4726170018159315
72,-1030.1970015979132,1304.760609216982,6732.703818941259,-0.25903473610311595,7.427242465369875,-1.4795215607090109
73,-1030.4190379795054,1311.1324688684015,6731.431418350795,-0.25797956632168395,7.4259012125701975,-1.486424819196681
74,-1030.6401700685194,1317.5031748732777,6730.153095277872,-0.25692416887540803,7.4245534264056285,-1.4933267712230014
75,-1030.8603976698068,1323.8727216265822,6728.8688508460455,-0.25586854468763676,7.423199108055968,-1.5002274107331608
76,-1031.0797205890078,1330.2411035243415,6727.578686184058,-0.2548126946818988,7.421838258706722,-1.5071267316734773
77,-1031.2981386325532,1336.6083149636036,6726.282602425845,-0.2537566197819116,7.420470879549088,-1.514024727991436
78,-1031.5156516076706,1342.9743503424245,6724.980600710534,-0.2527003209116243,7.419096971779949,-1.520921393635659
79,-1031.7322593223741,1349.3392040598821,6723.672682182451,-0.2516437989951569,7.417716536601894,-1.52781672255592
80,-1031.9479615854734,1355.7028705161,6722.358847991109,-0.2505870549568383,7.416329575223197,-1.5347107087031528
81,-1032.1627582065667,1362.0653441122677,6721.039099291202,-0.24953008972116855,7.414936088857824,-1.5416033460294831
82,-1032.3766489960485,1368.4266192505575,6719.713437242626,-0.248472904212876,7.413536078725436,-1.5484946284881553
83,-1032.5896337651022,1374.78669033424,6718.381863010462,-0.2474154993568554,7.412129546051372,-1.5553845500336385
84,-1032.8017123257036,1381.1455517676309,6717.044377764967,-0.2463578760781887,7.410716492066669,-1.5622731046215719
85,-1033.012884490627,1387.5031979560883,6715.700982681599,-0.24530003530218566,7.409296918008044,-1.569160286208764
86,-1033.2231500734333,1393.8596233060382,6714.351678940989,-0.24424197795431918,7.407870825117907,-1.5760460887532224
87,-1033.432508888481,1400.2148222249866,6712.996467728955,-0.2431837049602637,7.406438214644345,-1.5829305062141619
88,-1033.6409607509183,1406.5687891215402,6711.635350236493,-0.24212521724586256,7.40499908784113,-1.589813532552007
89,-1033.848505476688,1412.9215184052855,6710.268327659797,-0.24106651573717516,7.403553445967727,-1.5966951617283358
90,-1034.0551428825313,1419.2730044870125,6708.895401200219,-0.24000760136044313,7.402101290289264,-1.60357538770602
91,-1034.2608727859717,1425.6232417785227,6707.516572064306,-0.23894847504205802,7.400642622076564,-1.6104542044490897
92,-1034.4656950053384,1431.9722246927145,6706.131841463783,-0.23788913770865514,7.399177442606129,-1.6173316059228076
93,-1034.6696093597507,1438.3199476436494,6704.741210615534,-0.23682959028701794,7.397705753160128,-1.6242075860936915
94,-1034.8726156691214,1444.6664050464074,6703.344680741644,-0.2357698337041309,7.396227555026412,-1.6310821389294752
95,-1035.074713754155,1451.0115913172024,6701.942253069363,-0.2347098688871463,7.394742849498521,-1.6379552583991022
96,-1035.275903436356,1457.3555008733847,6700.5339288311125,-0.23364969676341266,7.393251637875653,-1.6448269384728056
