LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,geometry
40.88476,-6.84472,323.86,0.59,0.7,2025-08-08,0325,N20,VIIRS,n,2.0NRT,290.11,3.29,N,POINT (-6.84472 40.88476)
40.89938,-6.85357,302.15,0.59,0.7,2025-08-08,0325,N20,VIIRS,n,2.0NRT,289.69,1.57,N,POINT (-6.85357 40.89938)
40.88206,-6.8431,318.74,0.59,0.7,2025-08-08,0325,N20,VIIRS,n,2.0NRT,290.41,3.56,N,POINT (-6.8431 40.88206)
43.52928,-5.73441,308.89,0.55,0.68,2025-08-08,0325,N20,VIIRS,n,2.0NRT,287.35,1.86,N,POINT (-5.73441 43.52928)
43.5271,-5.72768,300.93,0.55,0.68,2025-08-08,0325,N20,VIIRS,n,2.0NRT,287.65,1.76,N,POINT (-5.72768 43.5271)
43.53069,-5.73372,304.82,0.55,0.68,2025-08-08,0325,N20,VIIRS,n,2.0NRT,287.59,1.25,N,POINT (-5.73372 43.53069)
43.52854,-5.72698,298.63,0.55,0.68,2025-08-08,0325,N20,VIIRS,n,2.0NRT,287.88,1.25,N,POINT (-5.72698 43.52854)
43.52276,-5.73045,301.48,0.55,0.68,2025-08-08,0325,N20,VIIRS,n,2.0NRT,287.91,1.25,N,POINT (-5.73045 43.52276)
43.59703,-7.64912,300.01,0.45,0.63,2025-08-08,0325,N20,VIIRS,n,2.0NRT,286.12,0.41,N,POINT (-7.64912 43.59703)
43.34796,-8.43852,302.94,0.42,0.61,2025-08-08,0325,N20,VIIRS,n,2.0NRT,288.18,0.86,N,POINT (-8.43852 43.34796)
38.63936,-4.2702,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,l,2.0NRT,337.39,84.98,D,POINT (-4.2702 38.63936)
38.64408,-4.26229,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,l,2.0NRT,325.48,43.99,D,POINT (-4.26229 38.64408)
38.64336,-4.26669,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,l,2.0NRT,327.07,43.99,D,POINT (-4.26669 38.64336)
39.01774,-1.88369,346.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,n,2.0NRT,314.13,10.79,D,POINT (-1.88369 39.01774)
38.63023,-4.26316,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,l,2.0NRT,325.05,68.13,D,POINT (-4.26316 38.63023)
38.62951,-4.26757,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,l,2.0NRT,326.48,36.33,D,POINT (-4.26757 38.62951)
38.63351,-4.26405,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,h,2.0NRT,345.12,68.13,D,POINT (-4.26405 38.63351)
38.6328,-4.26845,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,h,2.0NRT,342.5,36.33,D,POINT (-4.26845 38.6328)
38.63608,-4.26932,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,h,2.0NRT,350.85,84.98,D,POINT (-4.26932 38.63608)
38.64008,-4.26581,367.0,0.39,0.36,2025-08-08,1308,N20,VIIRS,h,2.0NRT,338.71,156.03,D,POINT (-4.26581 38.64008)
40.5354,-4.33605,367.0,0.39,0.36,2025-08-08,1310,N20,VIIRS,h,2.0NRT,339.78,104.6,D,POINT (-4.33605 40.5354)
40.53867,-4.33694,342.35,0.39,0.36,2025-08-08,1310,N20,VIIRS,n,2.0NRT,307.33,2.58,D,POINT (-4.33694 40.53867)
41.18074,-3.18343,331.82,0.39,0.36,2025-08-08,1310,N20,VIIRS,l,2.0NRT,301.95,2.53,D,POINT (-3.18343 41.18074)
41.18008,-3.18795,335.78,0.39,0.36,2025-08-08,1310,N20,VIIRS,n,2.0NRT,301.83,4.68,D,POINT (-3.18795 41.18008)
41.18401,-3.18431,336.47,0.39,0.36,2025-08-08,1310,N20,VIIRS,n,2.0NRT,300.59,6.31,D,POINT (-3.18431 41.18401)
40.88681,-6.84889,353.65,0.42,0.38,2025-08-08,1310,N20,VIIRS,n,2.0NRT,322.85,28.02,D,POINT (-6.84889 40.88681)
40.89018,-6.85005,367.0,0.42,0.38,2025-08-08,1310,N20,VIIRS,l,2.0NRT,335.93,109.04,D,POINT (-6.85005 40.89018)
43.41034,-3.83989,335.55,0.39,0.36,2025-08-08,1310,N20,VIIRS,n,2.0NRT,304.36,2.61,D,POINT (-3.83989 43.41034)
40.53143,-4.33966,367.0,0.39,0.36,2025-08-08,1310,N20,VIIRS,h,2.0NRT,335.95,104.6,D,POINT (-4.33966 40.53143)
43.52476,-5.72797,347.99,0.39,0.36,2025-08-08,1310,N20,VIIRS,n,2.0NRT,305.71,7.1,D,POINT (-5.72797 43.52476)
43.524,-5.73269,336.77,0.39,0.36,2025-08-08,1310,N20,VIIRS,n,2.0NRT,304.54,4.57,D,POINT (-5.73269 43.524)
40.26192,-3.74634,344.85,0.38,0.36,2025-08-08,1310,N20,VIIRS,l,2.0NRT,319.51,3.27,D,POINT (-3.74634 40.26192)
40.26124,-3.7508,346.34,0.38,0.36,2025-08-08,1310,N20,VIIRS,l,2.0NRT,319.1,3.27,D,POINT (-3.7508 40.26124)
40.26519,-3.74719,347.37,0.38,0.36,2025-08-08,1310,N20,VIIRS,l,2.0NRT,318.5,3.27,D,POINT (-3.74719 40.26519)
40.53214,-4.33518,367.0,0.39,0.36,2025-08-08,1310,N20,VIIRS,h,2.0NRT,355.24,104.6,D,POINT (-4.33518 40.53214)
43.22481,-2.8784,307.36,0.59,0.53,2025-08-09,0126,N20,VIIRS,n,2.0NRT,288.78,2.17,N,POINT (-2.8784 43.22481)
42.17836,-7.3819,326.34,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,289.93,5.84,N,POINT (-7.3819 42.17836)
42.12394,-7.62664,305.02,0.51,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,286.99,1.4,N,POINT (-7.62664 42.12394)
41.60281,-0.82177,346.23,0.45,0.47,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.62,7.28,N,POINT (-0.82177 41.60281)
41.60053,-0.82405,337.93,0.45,0.47,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.07,4.26,N,POINT (-0.82405 41.60053)
41.60005,-0.81869,305.48,0.45,0.47,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.62,4.26,N,POINT (-0.81869 41.60005)
40.95269,-6.86882,320.99,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,294.46,2.77,N,POINT (-6.86882 40.95269)
40.95286,-6.87342,313.17,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.87,2.77,N,POINT (-6.87342 40.95286)
40.9473,-6.88265,367.0,0.46,0.63,2025-08-09,0128,N20,VIIRS,h,2.0NRT,293.25,8.09,N,POINT (-6.88265 40.9473)
40.94712,-6.87756,332.72,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.39,8.09,N,POINT (-6.87756 40.94712)
40.94695,-6.87258,315.42,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.21,2.77,N,POINT (-6.87258 40.94695)
40.94123,-6.87741,317.08,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.13,3.34,N,POINT (-6.87741 40.94123)
40.94106,-6.87238,315.73,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.3,3.72,N,POINT (-6.87238 40.94106)
40.93535,-6.87747,326.39,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.6,3.34,N,POINT (-6.87747 40.93535)
40.93517,-6.87236,320.36,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.97,3.72,N,POINT (-6.87236 40.93517)
40.92929,-6.87248,318.37,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.61,2.31,N,POINT (-6.87248 40.92929)
40.94234,-6.87427,332.2,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.02,4.86,N,POINT (-6.87427 40.94234)
40.93645,-6.87421,332.81,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.83,4.86,N,POINT (-6.87421 40.93645)
40.93057,-6.8743,331.24,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.71,4.22,N,POINT (-6.8743 40.93057)
40.58516,-4.34575,307.27,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.23,1.18,N,POINT (-4.34575 40.58516)
40.57874,-4.32554,326.28,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.23,2.95,N,POINT (-4.32554 40.57874)
40.5806,-4.35548,304.06,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.04,1.14,N,POINT (-4.35548 40.5806)
40.58035,-4.35137,305.3,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.97,1.14,N,POINT (-4.35137 40.58035)
