Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.05
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
0,4370,,3.0,-99.777,784.3,25.37,28.39,81.51
0,4729,,-3.0,-100.0,783.4,-25.24,28.24,78.92
0,5089,,2.0,-100.0,738.3,17.58,19.59,80.9
0,5449,,-2.0,-100.0,738.3,-17.58,19.59,79.31
0,5809,,1.0,-100.0,709.8,9.09,10.1,80.5
0,6169,,-1.0,-99.777,710.8,-9.54,10.59,79.91
0,6528,,0.0,-100.0,700.0,1.11,1.23,80.1
1,4370,,3.0,-99.777,783.7,25.28,28.29,81.55
1,4729,,-3.0,-100.0,785.0,-25.46,28.49,78.96
1,4730,,-3.0,-99.0,786.0,-25.59,28.64,79.88
1,5089,,2.0,-100.0,740.0,17.95,20.0,80.94
1,5090,,2.0,-99.0,741.0,18.16,20.24,81.85
1,5449,,-2.0,-100.0,740.0,-17.95,20.0,79.35
1,5450,,-2.0,-99.0,741.0,-18.16,20.24,80.27
1,5809,,1.0,-100.0,711.5,9.86,10.96,80.54
1,5810,,1.0,-99.0,712.6,10.29,11.43,81.45
1,6169,,-1.0,-99.777,710.1,-9.24,10.27,79.95
1,6528,,0.0,-100.0,701.8,4.05,4.5,80.14
1,6529,,0.0,-99.0,702.9,5.04,5.59,81.06
2,4371,,3.0,-98.774,783.7,25.28,28.29,82.5
2,4730,,-3.0,-99.0,783.3,-25.22,28.22,79.92
2,5090,,2.0,-99.0,738.1,17.55,19.55,81.89
2,5450,,-2.0,-99.0,738.1,-17.55,19.55,80.31
2,5810,,1.0,-99.0,709.6,9.03,10.03,81.49
2,6170,,-1.0,-98.774,710.1,-9.22,10.25,80.91
2,6529,,0.0,-99.0,699.9,0.12,0.13,81.09
3,4371,,3.0,-98.774,784.4,25.37,28.39,82.54
3,4730,,-3.0,-99.0,786.2,-25.62,28.68,79.95
3,4731,,-3.0,-98.0,784.8,-25.43,28.46,80.87
3,5090,,2.0,-99.0,741.2,18.22,20.3,81.93
3,5091,,2.0,-98.0,739.8,17.91,19.95,82.85
3,5450,,-2.0,-99.0,741.2,-18.22,20.3,80.35
3,5451,,-2.0,-98.0,739.8,-17.91,19.95,81.26
3,5810,,1.0,-99.0,712.9,10.4,11.56,81.53
3,5811,,1.0,-98.0,711.3,9.77,10.86,82.45
3,6170,,-1.0,-98.774,710.8,-9.56,10.62,80.95
3,6529,,0.0,-99.0,703.2,5.27,5.85,81.13
3,6530,,0.0,-98.0,701.6,3.82,4.24,82.05
4,4372,,3.0,-97.772,783.3,25.23,28.23,83.49
4,4731,,-3.0,-98.0,783.5,-25.25,28.25,80.91
4,5091,,2.0,-98.0,738.3,17.6,19.6,82.88
4,5451,,-2.0,-98.0,738.3,-17.6,19.6,81.3
4,5811,,1.0,-98.0,709.8,9.12,10.13,82.49
4,6171,,-1.0,-97.772,709.7,-9.05,10.06,81.9
4,6530,,0.0,-98.0,700.1,1.34,1.49,82.09
5,4372,,3.0,-97.772,785.4,25.5,28.54,83.53
5,4373,,3.0,-96.769,785.6,25.54,28.58,84.45
5,4732,,-3.0,-97.0,784.0,-25.32,28.33,81.87
5,5092,,2.0,-97.0,738.9,17.72,19.74,83.84
5,5452,,-2.0,-97.0,738.9,-17.72,19.74,82.26
5,5812,,1.0,-97.0,710.4,9.38,10.42,83.44
5,6171,,-1.0,-97.772,711.9,-10.01,11.13,81.94
5,6172,,-1.0,-96.769,712.2,-10.13,11.26,82.87
5,6531,,0.0,-97.0,700.7,2.6,2.88,83.05
6,4373,,3.0,-96.769,783.3,25.23,28.23,84.49
6,4732,,-3.0,-97.0,784.0,-25.32,28.33,81.91
6,5092,,2.0,-97.0,738.9,17.71,19.73,83.88
6,5452,,-2.0,-97.0,738.9,-17.71,19.73,82.3
6,5812,,1.0,-97.0,710.4,9.37,10.41,83.48
6,6172,,-1.0,-96.769,709.6,-9.04,10.04,82.9
6,6531,,0.0,-97.0,700.6,2.57,2.85,83.08
7,4373,,3.0,-96.769,786.6,25.67,28.74,84.53
7,4374,,3.0,-95.766,784.6,25.4,28.42,85.44
7,4733,,-3.0,-96.0,783.5,-25.25,28.25,82.87
7,5093,,2.0,-96.0,738.3,17.6,19.6,84.83
7,5453,,-2.0,-96.0,738.3,-17.6,19.6,83.26
7,5813,,1.0,-96.0,709.8,9.12,10.14,84.44
7,6172,,-1.0,-96.769,713.3,-10.57,11.75,82.94
7,6173,,-1.0,-95.766,711.1,-9.66,10.73,83.86
7,6532,,0.0,-96.0,700.1,1.37,1.52,84.04
8,4374,,3.0,-95.766,783.6,25.26,28.27,85.48
8,4733,,-3.0,-96.0,784.8,-25.43,28.46,82.91
8,4734,,-3.0,-95.0,786.3,-25.63,28.68,83.83
8,5093,,2.0,-96.0,739.7,17.9,19.94,84.87
8,5094,,2.0,-95.0,741.3,18.23,20.31,85.79
8,5453,,-2.0,-96.0,739.7,-17.9,19.94,83.3
8,5454,,-2.0,-95.0,741.3,-18.23,20.31,84.22
8,5813,,1.0,-96.0,711.3,9.76,10.84,84.48
8,5814,,1.0,-95.0,712.9,10.41,11.57,85.39
8,6173,,-1.0,-95.766,709.9,-9.17,10.19,83.9
8,6532,,0.0,-96.0,701.6,3.79,4.21,84.08
8,6533,,0.0,-95.0,703.2,5.3,5.88,85.0
9,4375,,3.0,-94.763,783.9,25.3,28.31,86.44
9,4734,,-3.0,-95.0,783.3,-25.22,28.22,83.86
9,5094,,2.0,-95.0,738.1,17.55,19.55,85.83
9,5454,,-2.0,-95.0,738.1,-17.55,19.55,84.25
9,5814,,1.0,-95.0,709.6,9.03,10.03,85.43
9,6174,,-1.0,-94.763,710.2,-9.3,10.34,84.86
9,6533,,0.0,-95.0,699.9,0.15,0.16,85.04
10,4375,,3.0,-94.763,784.2,25.34,28.36,86.48
10,4734,,-3.0,-95.0,785.9,-25.58,28.63,83.9
10,4735,,-3.0,-94.0,785.1,-25.46,28.5,84.82
10,5094,,2.0,-95.0,740.9,18.16,20.23,85.87
10,5095,,2.0,-94.0,740.0,17.96,20.01,86.78
10,5454,,-2.0,-95.0,740.9,-18.16,20.23,84.29
10,5455,,-2.0,-94.0,740.0,-17.96,20.01,85.21
10,5814,,1.0,-95.0,712.6,10.27,11.42,85.47
10,5815,,1.0,-94.0,711.6,9.87,10.97,86.39
10,6174,,-1.0,-94.763,710.6,-9.45,10.5,84.9
10,6533,,0.0,-95.0,702.8,5.01,5.56,85.08
10,6534,,0.0,-94.0,701.8,4.08,4.53,86.0
11,4376,,3.0,-93.76,783.4,25.24,28.24,87.44
11,4735,,-3.0,-94.0,783.4,-25.24,28.24,84.86
11,5095,,2.0,-94.0,738.2,17.58,19.58,86.82
11,5455,,-2.0,-94.0,738.2,-17.58,19.58,85.25
11,5815,,1.0,-94.0,709.8,9.09,10.09,86.43
11,6175,,-1.0,-93.76,709.8,-9.09,10.1,85.86
11,6534,,0.0,-94.0,700.0,1.08,1.2,86.03
12,4376,,3.0,-93.76,785.0,25.46,28.49,87.47
12,4377,,3.0,-92.758,786.0,25.59,28.64,88.39
12,4736,,-3.0,-93.0,784.2,-25.34,28.36,85.82
12,5096,,2.0,-93.0,739.0,17.75,19.78,87.78
12,5456,,-2.0,-93.0,739.0,-17.75,19.78,86.21
12,5816,,1.0,-93.0,710.6,9.45,10.5,87.39
12,6175,,-1.0,-93.76,711.5,-9.86,10.96,85.9
12,6176,,-1.0,-92.758,712.6,-10.3,11.44,86.82
12,6535,,0.0,-93.0,700.8,2.86,3.18,86.99
13,4377,,3.0,-92.758,783.3,25.22,28.22,88.43
13,4736,,-3.0,-93.0,783.9,-25.3,28.31,85.86
13,5096,,2.0,-93.0,738.7,17.68,19.7,87.82
13,5456,,-2.0,-93.0,738.7,-17.68,19.7,86.25
