routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.007,0.034,0.0,12380
__check_action_completion,0.0,0.0,0.0,12380
preplanner/update_percepts,0.002,0.01,0.0,12380
preplanner/needs_planning,0.0,0.0,0.0,12380
preplanner/calculate_access_times,0.623,0.0,0.623,1
preplanner/_schedule_observations,29.584,0.0,29.584,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,117.548,0.0,117.548,1
preplanner/_schedule_maneuvers,0.76,0.0,0.76,1
preplanner/__schedule_periodic_replan,0.596,0.0,0.596,1
preplanner/generate_plan,149.218,0.0,149.218,1
replanner/needs_planning,0.0,0.001,0.0,12380
