routine,t_avg,t_std,t_med,n
check_action_statuses,0.002,0.013,0.0,158
update_state,0.0,0.004,0.0,158
sense_environment,0.176,0.111,0.164,157
update_state_environment,0.002,0.011,0.0,157
get_environment_broadcasts,0.0,0.0,0.0,157
get_agent_broadcasts,0.0,0.0,0.0,157
sense,0.18,0.113,0.167,157
think,0.917,3.938,0.09,157
perform_broadcast,0.007,0.015,0.0,6
do,0.12,0.185,0.085,157
perform_wait_for_messages,0.123,0.189,0.093,149
perform_state_change,0.125,0.19,0.093,147
perform_measurement,0.028,0.005,0.028,6
