routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00252,0.02345,3e-05,12067,30.40884
__check_action_completion,0.00014,0.00043,9e-05,12067,1.6893799999999999
update_action_completion,0.00247,0.01786,0.0003,12067,29.80549
get_plan_out,0.00636,0.0208,0.00036,12067,76.74612
preplanner/update_percepts,0.00151,0.01217,0.00011,12067,18.22117
preplanner/needs_planning,8e-05,0.00353,0.0,12067,0.9653600000000001
preplanner/calculate_access_opportunities,0.03302,0.0,0.03302,1,0.03302
preplanner/_schedule_observations,0.09735,0.0,0.09735,1,0.09735
preplanner/is_observation_path_valid,0.00116,0.0,0.00116,1,0.00116
preplanner/_create_broadcast_path,0.03647,0.0,0.03647,1,0.03647
preplanner/_schedule_broadcasts,0.06409,0.0,0.06409,1,0.06409
preplanner/_schedule_maneuvers,0.3328,0.0,0.3328,1,0.3328
preplanner/__schedule_periodic_replan,0.00927,0.0,0.00927,1,0.00927
preplanner/generate_plan,0.59455,0.0,0.59455,1,0.59455
replanner/needs_planning,1e-05,0.00036,0.0,12067,0.12067000000000001
reward_grid/update,0.00101,0.01051,1e-05,12068,12.18868
reward_grid/__get_target_indeces,0.0003,0.00709,1e-05,4445,1.3335
reward_grid/propagate_reward,0.00058,0.00777,3e-05,8890,5.1562
reward_grid/update_observation,0.00244,0.01617,0.00014,4444,10.843359999999999
reward_grid/update_event,0.00051,0.0,0.00051,1,0.00051
reward_grid/get_history,0.04807,0.0,0.04807,1,0.04807
