routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.011,0.0,12068,24.790585729908344
update_state,0.001,0.005,0.0,12068,7.4086192606446275
sense_environment,0.178,0.159,0.135,12067,2147.897998707409
update_state_environment,0.002,0.013,0.0,12067,23.779788353738695
get_environment_broadcasts,0.001,0.009,0.0,12067,13.728443994899862
get_agent_broadcasts,0.014,0.036,0.0,12067,172.47559660403567
sense,0.199,0.166,0.155,12067,2395.7519143077807
think,0.228,0.239,0.133,12067,2754.7564767930307
perform_broadcast,0.011,0.024,0.001,362,3.846711496957141
do,0.188,0.182,0.135,12067,2274.304429275129
perform_wait_for_messages,0.188,0.183,0.134,11705,2205.509863404426
perform_state_change,0.19,0.192,0.126,551,104.61869243492038
perform_observation,0.164,0.156,0.119,361,59.370758013963496
