routine,t_avg,t_std,t_med,n
check_action_statuses,0.002,0.024,0.0,8483
update_state,0.0,0.0,0.0,8483
sense_environment,0.093,0.055,0.091,8482
update_state_environment,0.0,0.004,0.0,8482
get_environment_broadcasts,0.003,0.009,0.0,8482
get_agent_broadcasts,0.008,0.074,0.0,8482
sense,0.106,0.103,0.101,8482
think,0.347,2.172,0.031,8482
perform_broadcast,0.002,0.009,0.0,318
do,0.652,2.096,0.06,8482
perform_wait_for_messages,0.756,2.252,0.074,7242
perform_state_change,0.307,1.546,0.04,1158
perform_observation,0.047,0.034,0.037,1044
