routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,967
_wait_for_messages,0.0,0.0,0.0,967
_preplan,2.608,0.0,2.608,1
_get_next_actions,0.001,0.005,0.0,967
_replan,0.635,0.32,0.562,30
preplanner/__get_new_requests,0.0,0.0,0.0,967
preplanner/__update_performed_requests,0.0,0.0,0.0,967
preplanner/_calc_arrival_times,0.28,0.081,0.284,101
preplanner/__update_access_times,0.029,0.908,0.0,967
preplanner/needs_initialized_plan,0.029,0.908,0.0,967
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_plan_from_path,1.309,0.0,1.309,1
preplanner/initialize_plan,2.608,0.0,2.608,1
replanner/__update_known_requests,0.263,0.308,0.096,967
replanner/__update_performed_requests,0.0,0.002,0.0,967
replanner/_calc_arrival_times,0.414,0.173,0.384,130
replanner/__update_access_times,0.057,1.312,0.001,967
replanner/needs_replanning,0.851,1.606,0.349,967
replanner/_get_available_requests,0.001,0.001,0.001,30
replanner/_plan_from_path,0.317,0.181,0.295,30
