routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.014,0.042,0.0,1000
__check_action_completion,0.0,0.0,0.0,1000
preplanner/update_percepts,0.001,0.008,0.0,1000
preplanner/needs_planning,0.0,0.002,0.0,1000
preplanner/calculate_access_opportunities,0.111,0.154,0.059,170
preplanner/_schedule_observations,0.398,0.517,0.169,170
preplanner/is_observation_path_valid,0.0,0.0,0.0,170
preplanner/_schedule_broadcasts,0.353,0.611,0.09,170
preplanner/_schedule_maneuvers,0.001,0.001,0.001,170
preplanner/__schedule_periodic_replan,0.005,0.047,0.0,170
preplanner/generate_plan,0.771,1.017,0.315,170
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,1000
replanner/update_percepts,0.008,0.032,0.0,1000
replanner/check_request_completion,0.0,0.009,0.0,1000
replanner/check_request_end_time,0.0,0.001,0.0,1000
replanner/compare_bids,0.0,0.001,0.0,1000
replanner/consensus_phase,0.001,0.01,0.0,1000
replanner/is_observation_path_valid,0.0,0.002,0.0,5666
replanner/_get_available_requests,0.241,0.275,0.13,933
replanner/needs_planning,0.223,0.268,0.114,1000
replanner/calc_imaging_time,0.072,0.048,0.059,52
replanner/planning_phase,0.969,2.057,0.228,30
replanner/_schedule_observations,0.002,0.004,0.001,30
replanner/_schedule_maneuvers,0.019,0.038,0.005,30
replanner/_schedule_broadcasts,0.064,0.107,0.016,30
replanner/_schedule_waits,0.0,0.0,0.0,30
replanner/generate_plan,1.058,2.067,0.329,30
